checkpoint,world,seed,relation_budget,distance_pair_seed,pair_split_seed,world_seed,data_order_seed,held_out_point_seed,pair_split_digest,held_out_pair_digest,point_split_digest,training_step,num_points,tasks,pca_explained_variance,probe_r2,cv_probe_r2_mean,cv_probe_r2_std,embedding_distance_spearman,nearest_recall,embedding_intrinsic_dimension,prediction_mae,prediction_rmse,prediction_pearson,prediction_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,distance_transformer_1_task_id,distance_transformer_2_task_id,distance_pair_id,distance_h1_id,distance_h2_id,distance_task_layer1_layer2_cka,distance_sequence_layer1_layer2_cka,distance_entity_token_cka_layer1,distance_entity_token_cka_layer2,distance_symmetry_mean,distance_symmetry_max
models\octahedron_distance_pairs1000_pairseed0_seed0_model.pt,octahedron,0,1000,0,0,0,0,0,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.25204476714134216,0.11771983483774093,-0.0006307087119068515,0.009476897345413187,0.029146939971469398,0.005,16.871997656110224,0.10572659224271774,0.12840937077999115,0.03161618113517761,0.03021749421749422,1000,0.10572659224271774,0.12840937077999115,0.3321498854788057,0.403409935894508,-0.4501806987196091,0.03161618113517761,0.03021749421749422,1000,0.0017793906154111028,0.0022545603569597006,0.005590120485242141,0.007082910254499377,0.9995468227716644,0.9998012781143188,0.9997594837594839,10.537205989799695,9.744382273837,9.744382273837,10.314720103616208,10.0506708754483,0.9245696791082486,0.9372427205619436,0.16697875804180978,0.4845169747471084,1.8594413120354147e-08,1.1920928955078125e-07
models\octahedron_distance_pairs1000_pairseed0_seed1_model.pt,octahedron,1,1000,0,0,0,0,0,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.27594953775405884,0.1320572481631321,0.003939628080684593,0.016547754830388756,0.012816719432167193,0.005,16.00346963701711,0.10883556306362152,0.13170167803764343,0.059572868049144745,0.055525639525639534,1000,0.10883556306362152,0.13170167803764343,0.341917005369982,0.4137530241885088,-0.5254966027567123,0.059572868049144745,0.055525639525639534,1000,0.006572362035512924,0.00824661087244749,0.02064768428749986,0.02590749213389475,0.9939368911815576,0.9974982738494873,0.9973497493497494,10.417532454424242,9.83262844380766,9.83262844380766,9.850202057617675,9.981889567147173,0.9047457589583816,0.9194019567169066,0.12653608420229392,0.441127805574791,2.2305176372583446e-08,1.7881393432617188e-07
models\octahedron_distance_pairs1000_pairseed0_seed2_model.pt,octahedron,2,1000,0,0,0,0,0,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.2584243416786194,0.16478818838089174,0.039575520271695794,0.023848848049834497,0.05180190271401903,0.005,14.928066540153798,0.10262031853199005,0.1250091940164566,0.11825653165578842,0.11417286651538511,1000,0.10262031853199005,0.1250091940164566,0.32239123880914444,0.3927279655532812,-0.37439836988685693,0.11825653165578842,0.11417286651538511,1000,0.00024182224296964705,0.00029858594643883407,0.0007597069819880492,0.0009380354157973966,0.9999920515375839,0.9999969005584717,0.9999918519918521,10.880429939354023,9.706128842950896,9.706128842950896,9.787535857606015,9.812028848312222,0.9016285144417031,0.9285383389380955,0.11085921015901073,0.38613040785972347,2.2280961076148742e-08,1.1920928955078125e-07
models\octahedron_distance_pairs1000_pairseed0_seed3_model.pt,octahedron,3,1000,0,0,0,0,0,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.26502683758735657,0.11285075894966712,-0.0022170082546703503,0.008393692756455533,0.01036381488763815,0.0075,16.548572242154613,0.10670100897550583,0.1295192837715149,0.07496796548366547,0.06791633591633592,1000,0.10670100897550583,0.1295192837715149,0.3352111059280677,0.4068968303948029,-0.47535841151533287,0.07496796548366547,0.06791633591633592,1000,0.0020475920755416155,0.0025161304511129856,0.006432700222070216,0.007904656940690128,0.999435569241112,0.9998819231987,0.99985887985888,10.346823978096435,9.29323590274384,9.29323590274384,9.532297791920197,9.535526647473187,0.904640850219894,0.9230584480615919,0.11899606175767193,0.3915813849175911,2.0208210216310363e-08,1.1920928955078125e-07
models\octahedron_distance_pairs1000_pairseed0_seed4_model.pt,octahedron,4,1000,0,0,0,0,0,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.27636921405792236,0.10974864557030946,-0.009245998372500354,0.010886415714937219,0.01048533710085337,0.0,15.321008515817615,0.10475300252437592,0.12647154927253723,0.08680420368909836,0.06809006009006009,1000,0.10475300252437592,0.12647154927253723,0.32909126317205245,0.3973220900827225,-0.4067415451384462,0.08680420368909836,0.06809006009006009,1000,0.005124712362885475,0.006529337260872126,0.016099758711001798,0.02051251797156597,0.9961991339705386,0.9985032081604004,0.9984398904398905,10.445206796073487,9.606135790948539,9.606135790948539,9.908028984847613,10.081039536562034,0.9230308726482152,0.9347025116853135,0.17417696474374092,0.504074252205951,2.2621453155124982e-08,1.1920928955078125e-07
models\octahedron_distance_pairs2000_pairseed0_seed0_model.pt,octahedron,0,2000,0,0,0,0,0,9ed85f87f180e64be17775f5f89edca616a46f8cb85bf57b352ce99193204e8f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.22072827816009521,0.2759299555459457,0.14202273422269082,0.027346362813130295,0.11572767305327673,0.0075,17.568444381830474,0.10059420764446259,0.12304841727018356,0.15306004881858826,0.14684441084441086,1000,0.10059420764446259,0.12304841727018356,0.31602602372952987,0.3865680037318601,-0.3316211520164045,0.15306004881858826,0.14684441084441086,2000,0.004702036734670401,0.006092988885939121,0.01477188406254987,0.0191416891224706,0.9968565972103341,0.9985856413841248,0.9985527051381764,11.37110284096597,10.590724874151045,10.590724874151045,11.313629544833823,10.931064342200418,0.9038187730682091,0.9243105589718176,0.15647615426618602,0.4679845082721869,2.167224799620726e-08,1.4901161193847656e-07
models\octahedron_distance_pairs2000_pairseed0_seed1_model.pt,octahedron,1,2000,0,0,0,0,0,9ed85f87f180e64be17775f5f89edca616a46f8cb85bf57b352ce99193204e8f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.2240750938653946,0.20791538412556707,0.07317936990416266,0.015473770110023589,0.04980504421805044,0.0,14.50365909402502,0.10638006031513214,0.13133573532104492,0.07461246103048325,0.07281112881112882,1000,0.10638006031513214,0.13133573532104492,0.3342028159744582,0.41260338123840823,-0.5170308375482948,0.07461246103048325,0.07281112881112882,2000,0.007045595441013575,0.008882137015461922,0.022134390877653985,0.027904056395953145,0.9933200356557078,0.9973407983779907,0.9972661634405158,10.624205046367619,10.38965650681134,10.38965650681134,10.859349936591277,10.736509995772854,0.8546780177979164,0.9125122155474379,0.13321035750749471,0.36012981590781534,2.3736431487009213e-08,2.384185791015625e-07
models\octahedron_distance_pairs2000_pairseed0_seed2_model.pt,octahedron,2,2000,0,0,0,0,0,9ed85f87f180e64be17775f5f89edca616a46f8cb85bf57b352ce99193204e8f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.24019759893417358,0.29094102394283544,0.15713663071259312,0.013658393767056938,0.1451892087958921,0.0025,17.5068218124309,0.1022646427154541,0.1263793706893921,0.16441676020622253,0.14802464802464804,1000,0.1022646427154541,0.1263793706893921,0.32127385027685557,0.3970325025230954,-0.40469157419249213,0.16441676020622253,0.14802464802464804,2000,0.005869755521416664,0.007571000140160322,0.01844038082445072,0.023784998420654964,0.995146603940898,0.9976533651351929,0.9975933063983266,11.274855829402936,10.159083860237665,10.159083860237665,10.570436097312184,10.44689149886613,0.8767826549220581,0.9185482772947461,0.11227287786727883,0.3733961755608909,2.4169496626313958e-08,1.4901161193847656e-07
models\octahedron_distance_pairs2000_pairseed0_seed3_model.pt,octahedron,3,2000,0,0,0,0,0,9ed85f87f180e64be17775f5f89edca616a46f8cb85bf57b352ce99193204e8f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.26257508993148804,0.17595824370019095,0.048779101068807215,0.02012225178355823,0.05819916098999161,0.0075,15.416658317572413,0.10367904603481293,0.12857142090797424,0.12174610048532486,0.12471436071436072,1000,0.10367904603481293,0.12857142090797424,0.32571732935416625,0.40391903138609303,-0.45384315243778883,0.12174610048532486,0.12471436071436072,2000,0.005808772519230843,0.007459721062332392,0.01824879707278989,0.02343540488725249,0.9952882264130782,0.9978821277618408,0.997788751947188,10.721069942107,10.048072762196355,10.048072762196355,10.248882122819499,10.01548885445439,0.9063104022539911,0.9165711110808791,0.15956685812839794,0.42835969857820494,2.389326603235986e-08,1.1920928955078125e-07
models\octahedron_distance_pairs2000_pairseed0_seed4_model.pt,octahedron,4,2000,0,0,0,0,0,9ed85f87f180e64be17775f5f89edca616a46f8cb85bf57b352ce99193204e8f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.22743186354637146,0.25081271967483465,0.11191956854853698,0.030356105044848012,0.07161154554811547,0.005,16.246534234712115,0.10075847059488297,0.12462656944990158,0.14863117039203644,0.1457919977919978,1000,0.10075847059488297,0.12462656944990158,0.3165420710078275,0.39152591502590894,-0.36599760723492714,0.14863117039203644,0.1457919977919978,2000,0.004764328710734844,0.005968001205474138,0.014967580076931518,0.018749028743732583,0.9969842380490072,0.9989193677902222,0.9988787302196827,11.01117975570008,10.751117097570777,10.751117097570777,11.12693586121927,10.654750300451418,0.9053686862661503,0.923263488509296,0.15408071858542002,0.4295134118833884,2.5983155182984774e-08,1.4901161193847656e-07
