,,,seed,seed,pair_split_seed,pair_split_seed,world_seed,world_seed,data_order_seed,data_order_seed,held_out_point_seed,held_out_point_seed,num_points,num_points,pca_explained_variance,pca_explained_variance,probe_r2,probe_r2,cv_probe_r2_mean,cv_probe_r2_mean,cv_probe_r2_std,cv_probe_r2_std,embedding_distance_spearman,embedding_distance_spearman,nearest_recall,nearest_recall,embedding_intrinsic_dimension,embedding_intrinsic_dimension,prediction_mae,prediction_mae,prediction_rmse,prediction_rmse,prediction_pearson,prediction_pearson,prediction_spearman,prediction_spearman,held_out_pair_n_examples,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_mae,held_out_pair_rmse,held_out_pair_rmse,held_out_pair_r2,held_out_pair_r2,held_out_pair_pearson,held_out_pair_pearson,held_out_pair_spearman,held_out_pair_spearman,training_pair_n_examples,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_normalized_rmse,training_pair_mae,training_pair_mae,training_pair_rmse,training_pair_rmse,training_pair_r2,training_pair_r2,training_pair_pearson,training_pair_pearson,training_pair_spearman,training_pair_spearman,distance_transformer_1_task_id,distance_transformer_1_task_id,distance_transformer_2_task_id,distance_transformer_2_task_id,distance_pair_id,distance_pair_id,distance_h1_id,distance_h1_id,distance_h2_id,distance_h2_id,distance_task_layer1_layer2_cka,distance_task_layer1_layer2_cka,distance_sequence_layer1_layer2_cka,distance_sequence_layer1_layer2_cka,distance_entity_token_cka_layer1,distance_entity_token_cka_layer1,distance_entity_token_cka_layer2,distance_entity_token_cka_layer2,distance_symmetry_mean,distance_symmetry_mean,distance_symmetry_max,distance_symmetry_max
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
world,relation_budget,training_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octahedron,1000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.26556293964385985,0.010707998892731534,0.12743293518034826,0.02256389534820719,0.006284286602660567,0.019203401968482425,0.013830721739405838,0.006421275818910297,0.022922942821229426,0.017939439419286617,0.0045,0.0027386127875258306,15.934622918250671,0.813944626394364,0.10572729706764221,0.002302824263599837,0.12822221517562865,0.002608275869437168,0.07424355000257492,0.032123818415484104,0.06718447925298297,0.030462069671772063,1000.0,0.0,0.10572729706764221,0.002302824263599837,0.12822221517562865,0.002608275869437168,0.3321520997516104,0.007234535789033575,0.4028219692227647,0.008194140309959321,-0.4464351256033915,0.05887736717081672,0.07424355000257492,0.032123818415484104,0.06718447925298297,0.030462069671772063,1000.0,0.0,0.003153175866464153,0.0026059245754209677,0.003969044977566227,0.0032929984131360762,0.009905994137560412,0.008186753501951614,0.012469122543289525,0.010345259622991144,0.9978220937404914,0.0026464838749776644,0.9991363167762757,0.001098034393123493,0.9990799710799712,0.0011514483951170435,10.525439831549576,0.20984600558716315,9.636502250857585,0.20838987072337056,9.636502250857585,0.20838987072337056,9.878556959121543,0.2828829886840294,9.892231094988583,0.22497827479588567,0.9117231350752885,0.011109033763054079,0.9285887951927702,0.007537460448536252,0.13950941578090545,0.029010097479348712,0.441486165061033,0.053206659810394234,2.1202042788104336e-08,1.745217023207835e-09,1.3113021850585939e-07,2.6656007498500227e-08
octahedron,2000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.23500158488750458,0.017085907310976554,0.24031146539787476,0.04778375405132063,0.10660748089135816,0.045544520917807196,0.021391376703723413,0.007284503839537568,0.08810652652106528,0.04078878157152439,0.0045,0.0032596012026013246,16.248423568114184,1.328726943504267,0.10273528546094894,0.002392100728611913,0.12679230272769929,0.0032667121486090176,0.13249330818653107,0.035945177515622206,0.12763730923730926,0.03212710203117024,1000.0,0.0,0.10273528546094894,0.002392100728611913,0.12679230272769929,0.0032667121486090176,0.32275241806856747,0.0075150060756539695,0.3983297667810731,0.010262678887462604,-0.41463686468598143,0.07310600761263275,0.13249330818653107,0.035945177515622206,0.12763730923730926,0.03212710203117024,2000.0,0.0,0.005638097785413266,0.0009622275599509333,0.007194769661873579,0.0012018567850609412,0.017712606582875195,0.003022927033423485,0.022603035514012756,0.0037757444466145007,0.9955191402538051,0.0014969525877361865,0.9980762600898743,0.000657215971056615,0.9980159314287779,0.000675448413672392,11.000482682908721,0.32878970936037016,10.387731020193437,0.29193617001684685,10.387731020193437,0.29193617001684685,10.823846712555211,0.4265594780090827,10.556940998349042,0.3489488778075651,0.889391706861665,0.022987359370031997,0.9190411302808353,0.004862247789058584,0.1431213932709555,0.02011696609507037,0.41187672204049725,0.04441092143733251,2.3890919464975013e-08,1.533087624907167e-09,1.609325408935547e-07,4.519745972187251e-08
octahedron,3000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.22771071195602416,0.008485942082831705,0.44558117712691736,0.05476183312394192,0.3088647542914442,0.0565987198159008,0.03673718057356734,0.009363902860742181,0.2061735779017358,0.031125100244963635,0.0105,0.0059686681931566616,16.89901715075173,1.2927562222677462,0.08925825357437134,0.004788397401218548,0.11154569238424301,0.005517118691113412,0.3268289029598236,0.06882007371547165,0.3226907866907867,0.07028254832681731,1000.0,0.0,0.08925825357437134,0.004788397401218548,0.11154569238424301,0.005517118691113412,0.2804130737014999,0.015043194098136637,0.3504311277339248,0.017332539548984845,-0.09643624951856171,0.10653694880163748,0.3268289029598236,0.06882007371547165,0.3226907866907867,0.07028254832681731,3000.0,0.0,0.003571449592709541,0.0011521114229405128,0.004600659990683198,0.0014846015812094648,0.011220039803122554,0.003619464782426798,0.01445339962839482,0.004664013421035444,0.9980456628952691,0.001182072089441932,0.9990976810455322,0.0005985397710367832,0.9990803760310923,0.000611849774482763,11.254706681186827,0.34461800347896454,10.318742948460526,0.3438631982810905,10.318742948460526,0.3438631982810905,10.707068170748096,0.30216407467281525,10.847417037217244,0.3532412803142517,0.8759839777409502,0.014885679349661415,0.9110875122716328,0.014864965117734904,0.14699710987987197,0.015585420576563655,0.41254420788235935,0.019342736811355066,2.5378987444923952e-08,9.949719054083336e-10,1.4901161193847656e-07,2.9802322387695312e-08
octahedron,5000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.3841674864292145,0.03208967290991528,0.955561459675317,0.010629832898367903,0.8970308134635463,0.013532350629105261,0.010647417323813387,0.003620395061848993,0.8515059942118601,0.04731211063464881,0.10049999999999999,0.022107690969434143,14.108474300237134,0.8261987371887151,0.0141814848408103,0.0030172150982779177,0.019452541880309582,0.004499677066866949,0.9834129571914673,0.007251210013074804,0.9869050949050949,0.006203544042416964,1000.0,0.0,0.0141814848408103,0.0030172150982779177,0.019452541880309582,0.004499677066866949,0.04455244859288465,0.009478860787050113,0.061111962664828365,0.014136152416795675,0.9652955880122873,0.01542656519260154,0.9834129571914673,0.007251210013074804,0.9869050949050949,0.006203544042416964,5000.0,0.0,0.0044274434447288515,0.0007505292951823971,0.005642723385244608,0.0009447604184400705,0.013909223800144446,0.0023578573200489436,0.01772713833332379,0.002968052389973745,0.9972247421889847,0.0009081828748580606,0.9987711310386658,0.0003623469944326677,0.998793033385283,0.0003588862617532805,9.088343894991343,0.28531265356499536,7.7256947917290235,0.2525075146534677,7.7256947917290235,0.2525075146534677,8.055307034869017,0.3854906511442868,8.131117458729006,0.35576045529944644,0.9243751587411289,0.018087942985370576,0.9386439282129777,0.005224480040297565,0.1142287469089607,0.043304762504834525,0.4032450391546024,0.0405207131728119,2.3604854959557997e-08,1.535470441608366e-09,1.1920928955078125e-07,0.0
octahedron,10000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.5028337836265564,0.020205089370931687,0.9693061745370853,0.0026549326655748106,0.924877115303034,0.0038110992314434006,0.010879369670233128,0.0034398229378986398,0.9324273475514735,0.01372819631596949,0.20099999999999998,0.02902585054739998,13.298457583434764,0.8027778119437474,0.005772650521248579,0.0013409065815531255,0.007439935859292745,0.0016687487260062283,0.9978941917419434,0.0008866610563187942,0.9982662670662672,0.0007615902517982699,1000.0,0.0,0.005772650521248579,0.0013409065815531255,0.007439935859292745,0.0016687487260062283,0.018135316469295826,0.004212582265757502,0.023373247838733353,0.005242528738308494,0.994935885671994,0.0024355279072127783,0.9978941917419434,0.0008866610563187942,0.9982662670662672,0.0007615902517982699,10000.0,0.0,0.004477648716419935,0.0012809835517328578,0.005585370864719152,0.001555715218443106,0.014066948312860632,0.004024328515493307,0.01754696007617616,0.0048874235013387024,0.9971568303741941,0.0016936684115053992,0.9989863753318786,0.0005163450204614477,0.9990838385858231,0.00047848834749533476,7.174172952925358,0.2871638747303236,5.34862255020609,0.1571103973310004,5.34862255020609,0.1571103973310004,5.468499921039553,0.17222296040921012,5.382961923814642,0.14253101022703174,0.9366071382938648,0.02154658433282353,0.9290865718908423,0.01051609034514483,0.11149206760233887,0.050039996965309995,0.5248713834130906,0.1376694795491505,2.2479221328808307e-08,1.2574553558180397e-09,1.2516975402832032e-07,1.332800374925011e-08
octahedron,20000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.5246932148933411,0.010110671931953995,0.972626863395097,0.0031789091808255275,0.9307085863615139,0.004431280185878969,0.009623507014102133,0.0034696353055852953,0.9439217818152178,0.003585867573348357,0.3205,0.02774887385102323,10.897493044345957,0.7573964841094775,0.005171857308596373,0.0006501144953006828,0.006574556138366461,0.0008180853224221209,0.9985848546028138,0.00017413952390361466,0.9988032412032413,0.00011615625650536975,1000.0,0.0,0.005171857308596373,0.0006501144953006828,0.006574556138366461,0.0008180853224221209,0.016247868926101045,0.00204239492242886,0.02065457726490575,0.0025700908389309734,0.9961513543875006,0.0009451408658888525,0.9985848546028138,0.00017413952390361466,0.9988032412032413,0.00011615625650536975,20000.0,0.0,0.00479683829471469,0.0006800550925647731,0.006029202230274677,0.0008165932337414424,0.01506971194713386,0.0021364560828378188,0.01894129743363812,0.0025654033040932492,0.9968284775936315,0.0008335383789436023,0.9989013552665711,0.00011426777364178807,0.9990668611450604,9.08823173013971e-05,5.847843862193484,0.15333294651980475,4.379452397660323,0.11251010674902694,4.379452397660323,0.11251010674902694,4.416607152214241,0.11701506346516899,4.435410486997904,0.11575523224909451,0.9372368256363733,0.016353620128640806,0.9232918702704158,0.011294227644177696,0.10325272484895005,0.06391838786882147,0.515761690916414,0.15790468273715982,2.261418856619457e-08,1.6075258474602152e-09,1.3187527656555175e-07,1.2796792415766172e-08
octahedron,40000,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.5287350654602051,0.014482496294807228,0.9719327115714463,0.0030784185210521184,0.9277753384238772,0.0029833167161530906,0.009217871628296645,0.0012332583386197788,0.9410202551134026,0.013905065390504479,0.354,0.026844459391092233,10.111736361108903,0.3106377454547972,0.0047276423312723635,0.000724870016414382,0.00604768879711628,0.0009305837411908877,0.998665189743042,0.000336638529263338,0.9988572286563484,0.00027821495581922074,1000.0,0.0,0.0047276423312723635,0.000724870016414382,0.00604768879711628,0.0009305837411908877,0.01485232641672538,0.002277246318374935,0.018999374696217798,0.002923515044875398,0.9967223928035501,0.0009916506863941606,0.998665189743042,0.000336638529263338,0.9988572286563484,0.00027821495581922074,40000.0,0.0,0.004519889410585165,0.0007288929095865011,0.005755908694118262,0.0009100472635499109,0.014199651367332655,0.0022898846100106412,0.01808272046817555,0.0028589977975878953,0.997078696331729,0.0009027120613507701,0.9988314390182496,0.00027705585157005705,0.9990283027446505,0.000219665445420086,5.295630985606508,0.29304906414393667,4.014395755933039,0.11075386248185852,4.014395755933039,0.11075386248185852,4.000775372365872,0.13515825703433482,3.9989729072498106,0.13446658826505484,0.9511190762842281,0.019476069182834944,0.9156528208194123,0.015601781275551103,0.1123657224055296,0.0721397445778644,0.4995626280921176,0.17793446606794794,2.2645294706080676e-08,1.7967395177387106e-09,1.3709068298339843e-07,2.665600749850023e-08
octahedron,78800,5000,2.0,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.530881929397583,0.02133916077089271,0.971896012029104,0.003397652494719235,0.9298123549543902,0.004385612986522548,0.01019429057922734,0.0007179477559220701,0.9488394825827948,0.009746426523501987,0.382,0.020340845606807993,9.626335935782905,0.5930119927207343,0.004391410853713751,0.0007828984674385679,0.0055664747953414915,0.000911098632084512,0.9989006996154786,0.000332314869740894,0.9990182526182526,0.00026077147213655216,1000.0,0.0,0.004391410853713751,0.0007828984674385679,0.0055664747953414915,0.000911098632084512,0.013796024076921602,0.0024595480738117126,0.017487596323437576,0.002862300769252412,0.9972164529577443,0.0009258594675125155,0.9989006996154786,0.000332314869740894,0.9990182526182526,0.00026077147213655216,78800.0,0.0,0.00427098642103374,0.0008380412019231284,0.005383981019258499,0.000952285258875231,0.013417699563901358,0.0026327840833672597,0.01691427521716939,0.0029916923734042812,0.9974322905664128,0.0009411773935516267,0.9990272998809815,0.00026815131198631244,0.9991762488275254,0.00022402608938252813,5.05607466232718,0.1392736758651932,3.9049421154381436,0.12710438310152172,3.9049421154381436,0.12710438310152172,3.914843151234814,0.09691387395920292,3.9256816033773774,0.12355143594624617,0.931259957308985,0.020556687374572533,0.9131393762524999,0.010791342743011889,0.12966895798305286,0.08219930135612351,0.5383873446407249,0.1548996854132079,2.2624488948963517e-08,1.3894136464533405e-09,1.341104507446289e-07,1.4901161193847655e-08
