experiment,n_points,train_examples,pca_var,insample_r2,cv_r2_mean,cv_r2_std,spearman,nn_recall,intrinsic_dim,held_out_n,held_out_loss,held_out_spearman,indist_loss,indist_spearman
020,10,5000,0.6782,1.0,-1.919,3.5282,0.7663,0.5,10.0819,4,0.01184,1.0,0.0,1.0
021,10,10000,0.6984,1.0,-1.8293,3.2875,0.6917,0.6,9.4874,4,0.01231,1.0,0.0,1.0
022,10,15000,0.7274,1.0,-2.407,4.1261,0.5941,0.4,7.2152,4,0.028,0.4,0.0,1.0
023,10,20000,0.6546,1.0,-1.9192,3.4263,0.7133,0.3,9.8652,4,0.02966,0.4,0.0,1.0
024,10,25000,0.703,1.0,-1.9598,3.6576,0.8153,0.4,6.6109,4,0.00925,0.8,0.0,1.0
025,10,30000,0.6687,1.0,-2.2771,3.9144,0.4854,0.5,16.3609,4,0.0427,-0.2,0.0,1.0
026,10,35000,0.6722,1.0,-2.0432,3.7501,0.7818,0.4,10.5342,4,0.01898,0.8,0.0,1.0
027,10,40000,0.6834,1.0,-1.8023,3.2806,0.815,0.5,13.0935,4,0.00792,1.0,0.0,1.0
028,10,45000,0.6497,1.0,-2.2293,3.8914,0.6414,0.3,11.3284,4,0.04078,0.6,0.0,1.0
029,10,50000,0.6922,1.0,-2.2145,3.8837,0.6096,0.5,9.7132,4,0.03402,0.6,0.0,1.0
030,20,5000,0.606,1.0,0.4551,0.2535,0.6014,0.5,8.2893,19,0.00834,0.7754,0.0,1.0
031,20,10000,0.6951,1.0,0.4966,0.2483,0.7362,0.55,8.5834,19,0.00689,0.7895,0.0,1.0
032,20,15000,0.6598,1.0,0.5088,0.2252,0.7298,0.45,8.9886,19,0.00949,0.786,0.0,1.0
033,20,20000,0.6763,1.0,0.4922,0.2868,0.6471,0.5,5.7236,19,0.00918,0.7421,0.0,1.0
034,20,25000,0.6691,1.0,0.467,0.2635,0.6473,0.5,7.2817,19,0.00635,0.8632,0.0,1.0
